Date,x_01,x_02,x_03,y_01
2/15/2011,-0.972748687,-0.128168445,0.299040799,-0.086802003
2/16/2011,-0.728544509,0.132737558,0.599942507,-0.086802003
2/17/2011,-0.808666957,-0.020272577,0.1988012,-0.093796095
2/18/2011,-0.957526584,0.347875337,0.557001452,-0.097801915
2/22/2011,-0.994913503,-0.031214701,0.301641803,-0.105572786
2/23/2011,-0.116845339,-0.386041469,-0.47449384,-0.062513403
2/24/2011,0.071843442,-0.505030079,-0.629750557,-0.062513403
2/25/2011,-0.132090563,-0.421217652,-0.648312113,-0.237159303
2/28/2011,-0.178064326,-0.406481482,-0.512340554,-0.074403049
3/1/2011,-0.331308877,-0.415868267,-0.624977718,-0.074403049
3/2/2011,-0.423145212,-0.607314841,-0.887937026,-0.066833222
3/3/2011,-0.307856213,-0.101688874,-0.227843443,-0.063023131
3/4/2011,-0.504811572,-0.285742495,-0.414226637,-0.064692052
3/7/2011,-0.467572702,-0.426083129,-0.63298265,-0.065840416
3/8/2011,-0.638382382,-0.056842014,-0.218827751,-0.066602184
3/9/2011,-0.980363627,-0.034587626,-0.087733575,-0.066165622
3/10/2011,-0.781618833,-0.278963134,-0.358348603,-0.073265677
3/11/2011,-0.714291681,-0.035553704,-0.120140477,-0.075216997
3/14/2011,-1.582583091,-0.272654401,-0.227759136,-0.072313697
3/15/2011,-0.671630119,-0.019295505,-0.017108273,-0.062214942
3/16/2011,-1.100228004,-0.338344401,-0.526231513,-0.067558201
3/17/2011,-0.89217924,-0.200991405,-0.192832584,-0.063427298
3/18/2011,-0.793730455,-0.315037064,-0.581152238,-0.059898913
3/21/2011,-0.906628076,-0.363248433,-0.537863961,-0.061875316
3/22/2011,-1.120513832,-0.313167599,-0.254572964,-0.064029815
3/23/2011,-0.930837628,-0.284573047,-0.27699751,-0.074215112
3/24/2011,-1.033161622,-0.316120801,-0.381779388,-0.070266539
3/25/2011,-0.842786149,-0.272153024,-0.349459765,-0.068473332
3/28/2011,-0.827735344,-0.40695192,-0.387539239,-0.068473332
3/29/2011,-0.736373754,-0.29474499,-0.169347929,-0.068473332
3/30/2011,-0.746286631,-0.251253763,-0.201839609,-0.304307282
3/31/2011,-0.68363196,-0.391681267,-0.246494234,-0.079655578
4/1/2011,-0.613652966,-0.177886366,-0.124137674,-0.083379488
4/4/2011,-0.838226998,-0.349441454,-0.297121808,-0.080679561
4/5/2011,-0.411374951,-0.351528044,-0.323983843,-0.07831151
4/6/2011,-0.724594156,-0.262596972,-0.343231825,-0.07831151
4/7/2011,-0.790448485,-0.397922513,-0.259790498,-0.07831151
4/8/2011,-0.723330461,-0.319137844,-0.457186998,-0.08012078
4/11/2011,-0.928878544,-0.201507893,-0.217309395,-0.07888216
4/12/2011,-0.871806154,-0.254475957,-0.082773109,-0.080226228
4/13/2011,-0.920805255,-0.339411975,-0.288208284,-0.081459234
4/14/2011,-0.750316579,-0.039022927,-0.094077069,-0.081459234
4/15/2011,-0.849193882,-0.035516106,-0.032177649,-0.081459234
4/18/2011,-0.825970158,-0.094748265,-0.133793315,-0.082697854
4/19/2011,-0.524835795,-0.197223227,-0.281888806,-0.082697854
4/20/2011,-1.426474352,-0.55577318,-0.912295615,-0.101163991
4/21/2011,-1.418249314,-0.484375863,-0.65667341,-0.107182731
4/25/2011,-1.370112325,-0.425868672,-0.563800855,-0.107182731
4/26/2011,-1.335636103,-0.546111855,-0.716168588,-0.111650574
4/27/2011,-1.32356017,-0.354708331,-0.39953974,-0.111650574
4/28/2011,-1.142046268,-0.41212261,-0.440812129,0.349758726
4/29/2011,-1.206702848,-0.408588304,-0.628995187,-0.091643681
5/2/2011,-1.487205593,-0.353961156,-0.567760138,-0.091643681
5/3/2011,-1.197637565,-0.363707707,-0.463452813,-0.057356321
5/4/2011,-1.12108778,-0.18658701,-0.21892216,-0.07796273
5/5/2011,-1.158700242,-0.453540528,-0.84250646,-0.065090199
5/6/2011,-1.164598837,-0.231808834,-0.446797978,-0.054436007
5/9/2011,-1.101991809,-0.476441977,-0.593026679,-0.126160624
5/10/2011,-1.23629442,-0.127831286,-0.344373673,-0.047033391
5/11/2011,-1.226789622,-0.469616408,-0.522299554,-0.099487181
5/12/2011,-1.154740085,-0.25292235,-0.418856206,-0.070354421
5/13/2011,-0.830343594,-0.184776354,-0.361566738,-0.053475517
5/16/2011,-1.118439374,-0.213575986,-0.459399385,-0.088053457
5/17/2011,-1.119016833,-0.544384945,-0.754483773,-0.119201362
5/18/2011,-0.909685558,-0.378582092,-0.60759683,-0.040707268
5/19/2011,1.434924114,-0.630631545,-0.74347937,-0.045747227
5/20/2011,1.124328904,-0.725951062,-0.695060783,-0.094291539
