Date,lag_01,lag_02,lag_03,x_01,x_02,y_01,y_02,y_03,y_04,y_05,y_06,y_07
3/17/2015,0.180393972,0.296955277,0.092897756,-0.754795816,-0.108268624,-0.247626816,0.040399675,0.011447047,0.260655381,-0.023932473,0.125066467,-0.406315677
3/18/2015,-0.282470944,-0.392875993,-0.760389555,-0.372414127,-0.440292549,-0.528371931,-0.13821287,-0.342711226,-0.344911525,-0.030970931,-0.345868575,-1.230816316
3/19/2015,0.000100316,0.037262126,-0.389577266,-0.700723136,-0.291390052,-0.249420565,-0.049458748,-0.133471922,-0.082505218,-0.030523232,-0.024485151,-0.296240296
3/20/2015,-0.116928925,-0.158156035,-0.320181425,-0.797786477,-0.270847606,-0.271911391,-0.103027275,-0.128609849,-0.166884286,-0.025981437,-0.042537871,-0.802583655
3/23/2015,-0.098134744,-0.107533716,0.072073383,-0.617004687,-0.298901647,-0.206727954,-0.067831954,-0.067722354,-0.100097949,-0.030884557,-0.01912961,-0.23500052
3/24/2015,-0.220967824,-0.359180416,-1.222434837,-0.671515202,-0.374001558,-0.513961087,-0.110735741,-0.247139115,-0.393408687,-0.031838067,-0.203782715,-1.6870032
3/25/2015,-0.256597955,-0.463656948,-2.253404725,-1.04396286,-0.416442411,-0.648046063,-0.128278681,-0.316576756,-0.446461092,-0.031469078,-0.307700416,-2.239555621
3/26/2015,-0.008223623,0.021146867,0.541016518,-0.561973508,-0.2279524,-0.20589861,-0.032574255,-0.130310759,-0.059312908,-0.02996308,-0.001439853,0.497337746
3/27/2015,-0.16793011,-0.246931018,-1.005851308,-0.507863958,-0.252612303,-0.396743437,-0.098525661,-0.216891266,-0.273154592,-0.025018535,-0.147075738,-1.321717744
3/30/2015,-0.006996095,-0.012623198,-0.065753709,-0.426493471,-0.163038531,-0.229715905,-0.053979414,-0.094585645,-0.114214663,-0.030306431,0.042314555,-0.418851781
3/31/2015,-0.092089236,-0.084444677,0.505426303,-0.578686888,-0.19518362,-0.144371581,-0.07886254,-0.120988742,-0.076373288,-0.025873411,0.036167297,1.017685783
4/1/2015,-0.162433473,-0.267221247,-1.107103856,-0.570939359,-0.337478243,-0.515558224,-0.103704213,-0.225012095,-0.295662809,-0.03572006,-0.10182666,-2.234671782
4/2/2015,-0.023261083,-0.073275107,-1.116447399,-0.240807144,-0.223952841,-0.330059118,-0.028048096,-0.076106673,-0.077367471,-0.022264864,0.087877615,-1.472155621
4/6/2015,-0.155074784,-0.199871751,0.325347806,-0.212048344,-0.30171606,-0.302860675,-0.109114341,-0.251431327,-0.230128644,-0.030311521,-0.055393784,0.28153352
4/7/2015,-0.165548767,-0.237350437,-0.19342868,-0.413707345,-0.285470713,-0.289070285,-0.095345854,-0.211530717,-0.216905454,-0.029969998,-0.040169289,-0.452464354
4/8/2015,-0.224717597,-0.389832844,-1.180173808,-0.299772677,-0.3733948,-0.485721716,-0.127983645,-0.344708898,-0.402585636,-0.028798237,-0.228931759,-2.114286963
4/9/2015,-0.166846595,-0.230077326,-0.193514737,-0.189949377,-0.285594433,-0.320618769,-0.125128283,-0.271904567,-0.244206369,-0.033635594,-0.141788358,-1.024732699
4/10/2015,-0.066243676,-0.105956096,1.489092732,-0.289638164,0.032331327,0.248253787,-0.085575631,-0.052189668,-0.135541275,-0.025321082,0.22317786,2.667239965
4/13/2015,-0.036006852,-0.052424608,2.073195793,-0.397380101,0.018186179,0.241068429,-0.075101549,-0.091641462,-0.110462388,-0.02473378,0.234124103,3.433634896
4/14/2015,-0.076659174,-0.124428601,1.669092619,-0.204233897,-0.089109367,0.132918679,-0.083583281,-0.135021822,-0.187669508,-0.026058013,0.17663999,2.508923674
4/15/2015,-0.037380578,-0.057288171,2.482988,-0.368656241,0.029726899,0.223322747,-0.086020935,-0.032609902,-0.149274191,-0.027582351,0.219136321,2.471445649
4/16/2015,-0.152424903,-0.18321493,2.20753609,-0.645325972,-0.069243381,0.141436688,-0.116168855,-0.160378448,-0.251649165,-0.03136222,0.061582194,3.150697809
4/17/2015,-0.175316834,-0.296545849,1.359993071,-0.295993906,-0.113570306,-0.038680049,-0.14436835,-0.229892041,-0.346345362,-0.025089971,0.000117253,1.593690157
4/20/2015,-0.115907504,-0.207022725,1.253721365,-0.257532665,-0.160847994,-0.086701232,-0.114785382,-0.202622704,-0.269863711,-0.026683785,-0.000593797,2.070850228
4/21/2015,-0.197064893,-0.343276727,0.250287292,-0.361600884,-0.229099124,-0.227332548,-0.125228325,-0.218256133,-0.360708246,-0.027539069,-0.148385864,0.475731063
4/22/2015,-0.044068634,-0.050972857,0.818560352,-0.360460202,-0.188930208,-0.138004827,-0.089700803,-0.125073095,-0.138685426,-0.025747069,0.021016056,1.892628621
4/23/2015,-0.03560019,-0.051435008,1.243815411,-0.140228005,-0.038820376,0.059401028,-0.05432613,-0.016990729,-0.133358583,-0.03012421,0.176185678,2.226293777
4/24/2015,-0.156409744,-0.238179671,1.18102449,-0.370588513,-0.032229053,-0.083030626,-0.124290331,-0.146493488,-0.280082643,-0.025717016,-0.01137571,2.433177668
4/27/2015,-0.1828818,-0.335757774,0.087907907,-0.425322152,-0.14314192,-0.268398838,-0.115581935,-0.189790065,-0.349677304,-0.024076124,-0.070738613,1.002564804
4/28/2015,-0.198136848,-0.379365791,-1.008953887,-0.636707885,-0.184429564,-0.338855027,-0.117369113,-0.187043783,-0.398181999,-0.024225509,-0.157820998,-0.232737838
4/29/2015,-0.151290064,-0.22030189,-0.228519464,-0.427854759,-0.299719849,-0.350587393,-0.138493639,-0.225231998,-0.38767873,-0.027064789,-0.153302734,0.924242776
4/30/2015,-0.263867377,-0.453661421,-1.975074332,-0.328399315,-0.439697832,-0.606864875,-0.163476821,-0.335039922,-0.515990487,-0.032099871,-0.425350001,-0.810665105
5/1/2015,-0.111099496,-0.191727571,-1.352713575,-0.208412868,-0.416968241,-0.618948445,-0.100932494,-0.25456752,-0.246149592,-0.026337337,-0.214423059,-0.029359745
